"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2022","RVVB","-","Sloop","Q4","35","77","77","0","0","0,00","0","0,00","0,00","28.345,86","143.405,42"
"2022","Vlaamse Overheid","-","Sloop","Q4","25","74","74","0","0","0,00","0","0,00","0,00","67.225,24","320.724,35"
"2022","RVVB","-","-","Q4","14","20","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","Gemeente","-","Verbouwen of hergebruik","Q4","3","3","3","0","0","0,00","0","590,15","308,45","0,00","0,00"
"2022","Vlaamse Overheid","-","-","Q4","0","0","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2022","Provincie","meergezins- en kamerwoning","Verbouwen of hergebruik","Q3","1","1","1","1","5","35,80","105","183,90","63,10","0,00","0,00"
"2022","Provincie","meergezins- en kamerwoning","Verbouwen of hergebruik","Q4","1","1","1","1","25","36,75","94","189,90","100,00","0,00","0,00"
"2022","Gemeente","meergezins- en kamerwoning","Nieuwbouw","Q3","1","1","1","1","8","55,40","159","418,60","134,50","0,00","0,00"
"2022","Gemeente","meergezins- en kamerwoning","Nieuwbouw","Q2","1","1","1","1","44","63,00","609","1.297,00","1.555,00","0,00","0,00"
"2022","Provincie","meergezins- en kamerwoning","Nieuwbouw","Q4","1","1","1","1","23","63,60","226","390,70","170,20","0,00","0,00"
"2022","RVVB","meergezinswoning","Verbouwen of hergebruik","Q1","1","1","1","1","0","146,00","0","249,00","103,00","0,00","0,00"
"2022","Vlaamse Overheid","eengezinswoning","Nieuwbouw","Q2","1","1","1","1","0","159,00","0","159,29","182,04","0,00","0,00"
"2022","Vlaamse Overheid","eengezinswoning","Verbouwen of hergebruik","Q2","1","1","1","1","0","213,38","0","213,38","161,32","0,00","0,00"
"2022","-","meergezins- en kamerwoning","Verbouwen of hergebruik","Q1","2","2","2","3","19","214,00","479","862,60","365,80","0,00","0,00"
"2022","Vlaamse Overheid","eengezinswoning","Nieuwbouw","Q1","1","1","1","1","0","280,74","0","280,74","196,50","0,00","0,00"
